POSTAL_CODE,CITY,PROVINCE_ABBR,TIME_ZONE,LATITUDE,LONGITUDE
T6J 2V4,EDMONTON,AB,7,53.467545,-113.508716
T6K 3P9,EDMONTON,AB,7,53.441711,-113.44036
T5C 0T6,EDMONTON,AB,7,53.589299,-113.453957
T5T 0N5,EDMONTON,AB,7,53.5177305,-113.6286545
T5M 4C5,EDMONTON,AB,7,53.5668942,-113.5381666
T5Z 0A3,EDMONTON,AB,7,53.629865,-113.455889
T6A 2P3,EDMONTON,AB,7,53.553098,-113.430308
T6W 1L1,EDMONTON,AB,7,53.425356,-113.533077
T6A 3V9,EDMONTON,AB,7,53.55009,-113.439958
T6C 2R3,EDMONTON,AB,7,53.52604,-113.44909
T5R 5X5,EDMONTON,AB,7,53.5092208,-113.5949529
T5E 4W3,EDMONTON,AB,7,53.596083,-113.505089
T5N 0L3,EDMONTON,AB,7,53.542111,-113.562373
T5S 2M3,EDMONTON,AB,7,53.570671,-113.640014
T6L 2K9,EDMONTON,AB,7,53.438173,-113.400388
T6H 4M5,EDMONTON,AB,7,53.485961,-113.540521
T6H 0C1,EDMONTON,AB,7,53.484813,-113.567343
T5E 0Z1,EDMONTON,AB,7,53.592049,-113.497516
T5E 0X4,EDMONTON,AB,7,53.591083,-113.505332
T6A 2B2,EDMONTON,AB,7,53.55109,-113.416862
T6B 0H6,EDMONTON,AB,7,53.519872,-113.433995
T6X 0T2,EDMONTON,AB,7,53.4158884,-113.4447708
T6N 0B1,EDMONTON,AB,7,53.4463847,-113.4897908
T5S 0G9,EDMONTON,AB,7,53.553243,-113.641784
T5W 2J7,EDMONTON,AB,7,53.573661,-113.401466
T6L 3K5,EDMONTON,AB,7,53.444195,-113.424057
T5K 0Y9,EDMONTON,AB,7,53.535755,-113.499239
T5R 2P6,EDMONTON,AB,7,53.513066,-113.604166
T5R 0K6,EDMONTON,AB,7,53.516569,-113.564087
T5G 0C8,EDMONTON,AB,7,53.558736,-113.515942
T5Y 1W6,EDMONTON,AB,7,53.608657,-113.380177
T6L 3K8,EDMONTON,AB,7,53.4458065,-113.4027275
T6K 1A5,EDMONTON,AB,7,53.480693,-113.463831
T5G 2Y8,EDMONTON,AB,7,53.56732,-113.487968
T5R 5H8,EDMONTON,AB,7,53.528334,-113.597589
T5R 2Y2,EDMONTON,AB,7,53.507243,-113.581489
T5X 5V3,EDMONTON,AB,7,53.614865,-113.491594
T5H 3P4,EDMONTON,AB,7,53.5557344,-113.5269277
T6W 3M6,EDMONTON,AB,7,53.406754,-113.574374
T5W 2T8,EDMONTON,AB,7,53.573655,-113.410713
T6E 1T9,EDMONTON,AB,7,53.516115,-113.495891
T6C 2B1,EDMONTON,AB,7,53.534044,-113.460616
T5E 0E3,EDMONTON,AB,7,53.584941,-113.527013
T5H 2L5,EDMONTON,AB,7,53.55029,-113.488766
T5H 1P4,EDMONTON,AB,7,53.5469646,-113.4684607
T5W 1K7,EDMONTON,AB,7,53.573466,-113.41284
T6P 1A5,EDMONTON,AB,7,53.499316,-113.3648224
T6C 2V3,EDMONTON,AB,7,53.513719,-113.452076
T5L 4Z1,EDMONTON,AB,7,53.593588,-113.565717
T6J 2M2,EDMONTON,AB,7,53.468469,-113.502849
T6L 1G3,EDMONTON,AB,7,53.4690577,-113.4331879
T5W 4L3,EDMONTON,AB,7,53.570502,-113.441419
T6E 5A9,EDMONTON,AB,7,53.513861,-113.443119
T5S 1J8,EDMONTON,AB,7,53.543544,-113.619311
T5C 1A3,EDMONTON,AB,7,53.608708,-113.457439
T5R 5V4,EDMONTON,AB,7,53.529605,-113.572963
T6B 3K7,EDMONTON,AB,7,53.53628,-113.418724
T6J 6Z6,EDMONTON,AB,7,53.438749,-113.526621
T6C 4A6,EDMONTON,AB,7,53.511446,-113.437619
T5N 2Y8,EDMONTON,AB,7,53.531664,-113.572722
T5H 4H2,EDMONTON,AB,7,53.551595,-113.489625
T6M 2H8,EDMONTON,AB,7,53.4937148,-113.6061511
T5L 3E1,EDMONTON,AB,7,53.582952,-113.554595
T5T 3G3,EDMONTON,AB,7,53.528052,-113.619122
T5Z 0C2,EDMONTON,AB,7,53.640914,-113.4691895
T5M 3A7,EDMONTON,AB,7,53.565212,-113.553169
T6R 2A1,EDMONTON,AB,7,53.462718,-113.556757
T6C 2Y8,EDMONTON,AB,7,53.513348,-113.455139
T6V 1M2,EDMONTON,AB,7,53.6062194,-113.5412407
T5H 0L8,EDMONTON,AB,7,53.5483122,-113.5216345
T5S 0B7,EDMONTON,AB,7,53.5618307,-113.6210268
T6L 2J1,EDMONTON,AB,7,53.4440819,-113.4364452
T5J 4H9,EDMONTON,AB,7,53.543018,-113.505675
T5Y 6N4,EDMONTON,AB,7,53.6578205,-113.405807
T5P 2P8,EDMONTON,AB,7,53.540651,-113.590322
T6J 6J3,EDMONTON,AB,7,53.441114,-113.503848
T5R 3M7,EDMONTON,AB,7,53.5138378,-113.6025031
T5M 3E7,EDMONTON,AB,7,53.5685345,-113.5613688
T6J 1W8,EDMONTON,AB,7,53.472495,-113.53765
T6H 2Y2,EDMONTON,AB,7,53.503425,-113.507526
T5Z 0C4,EDMONTON,AB,7,53.6408776,-113.4771444
T6H 0V3,EDMONTON,AB,7,53.491529,-113.513718
T6K 2J5,EDMONTON,AB,7,53.451671,-113.438945
T5V 1B5,EDMONTON,AB,7,53.573551,-113.590518
T5P 2P6,EDMONTON,AB,7,53.5346539,-113.5921052
T6P 1E5,EDMONTON,AB,7,53.499468,-113.360737
T5X 2A4,EDMONTON,AB,7,53.624288,-113.509858
T5X 1T5,EDMONTON,AB,7,53.6136389,-113.5307287
T5E 3V8,EDMONTON,AB,7,53.593177,-113.486318
T5Y 1W4,EDMONTON,AB,7,53.6095629,-113.3756828
T6H 3L2,EDMONTON,AB,7,53.498735,-113.522537
T6G 1X3,EDMONTON,AB,7,53.523029,-113.53833
T5J 3K4,EDMONTON,AB,7,53.545626,-113.492263
T6R 2Y9,EDMONTON,AB,7,53.4587895,-113.566605
T5W 4R2,EDMONTON,AB,7,53.576727,-113.43402
T6H 0G8,EDMONTON,AB,7,53.486426,-113.524455
T5S 0K7,EDMONTON,AB,7,53.525051,-113.676807
T5B 3A9,EDMONTON,AB,7,53.5612167,-113.4701162
T5T 6X6,EDMONTON,AB,7,53.425771,-113.491684
T6W 4L5,EDMONTON,AB,7,53.3996077,-113.5978993
T6W 2Y1,EDMONTON,AB,7,53.426872,-113.533265
T5Z 1Z4,EDMONTON,AB,7,53.631755,-113.48901
T6E 4Y5,EDMONTON,AB,7,53.495318,-113.451119
T5W 1T3,EDMONTON,AB,7,53.578343,-113.420324
T6P 1P4,EDMONTON,AB,7,53.446248,-113.5010355
T5E 3X7,EDMONTON,AB,7,53.612724,-113.486761
T6X 1X6,EDMONTON,AB,7,53.4195,-113.521451
T6W 2J3,EDMONTON,AB,7,53.426872,-113.533265
T5R 0T7,EDMONTON,AB,7,53.52048,-113.570284
T5Z 3S2,EDMONTON,AB,7,53.626015,-113.477714
T5K 0Y5,EDMONTON,AB,7,53.532478,-113.499214
T5M 1N5,EDMONTON,AB,7,53.5646253,-113.5578908
T6A 2P8,EDMONTON,AB,7,53.54581,-113.432334
T5B 2Y8,EDMONTON,AB,7,53.567888,-113.468839
T5E 3T4,EDMONTON,AB,7,53.589073,-113.484733
T6C 3Y6,EDMONTON,AB,7,53.5300425,-113.476286
T5R 3M9,EDMONTON,AB,7,53.5138168,-113.6080833
T6C 2J9,EDMONTON,AB,7,53.519238,-113.444204
T6H 2P4,EDMONTON,AB,7,53.4899619,-113.5012498
T6J 3V3,EDMONTON,AB,7,53.464589,-113.526339
T6H 4Y7,EDMONTON,AB,7,53.488439,-113.582596
T6L 6T1,EDMONTON,AB,7,53.485889,-113.41283
T5L 0W5,EDMONTON,AB,7,53.5735417,-113.5392951
T5C 0M9,EDMONTON,AB,7,53.594956,-113.450796
T5W 0M8,EDMONTON,AB,7,53.5650115,-113.404556
T5T 6S8,EDMONTON,AB,7,53.49723,-113.669018
T6E 1W8,EDMONTON,AB,7,53.517064,-113.489106
T5C 2X6,EDMONTON,AB,7,53.612266,-113.44831
T5G 1Y7,EDMONTON,AB,7,53.572069,-113.491937
T5E 3A8,EDMONTON,AB,7,53.5854365,-113.472637
T5B 4W7,EDMONTON,AB,7,53.435206,-113.491705
T6H 4V2,EDMONTON,AB,7,53.4970359,-113.5802619
T6B 3L9,EDMONTON,AB,7,53.4924422,-113.4408644
T5Z 2M5,EDMONTON,AB,7,53.636328,-113.483327
T6J 5L3,EDMONTON,AB,7,53.453717,-113.530462
T6X 0H7,EDMONTON,AB,7,53.4195,-113.521451
T6W 5B9,EDMONTON,AB,7,53.4169624,-113.5747596
T5H 1E1,EDMONTON,AB,7,53.554582,-113.51059
T6H 3S7,EDMONTON,AB,7,53.486938,-113.5422035
T5X 6H2,EDMONTON,AB,7,53.643948,-113.500237
T6J 1C4,EDMONTON,AB,7,53.470986,-113.510485
T5A 4Y4,EDMONTON,AB,7,53.595693,-113.376724
T5M 0J6,EDMONTON,AB,7,53.559077,-113.535914
T5M 3S5,EDMONTON,AB,7,53.567916,-113.58725
T6B 2E9,EDMONTON,AB,7,53.5369,-113.423828
T5E 5P2,EDMONTON,AB,7,53.5906933,-113.5288538
T5M 0Y7,EDMONTON,AB,7,53.568565,-113.544547
T6L 2T5,EDMONTON,AB,7,53.452092,-113.412424
T6B 0A8,EDMONTON,AB,7,53.512374,-113.429009
T6A 0W7,EDMONTON,AB,7,53.545265,-113.427735
T6X 1N5,EDMONTON,AB,7,53.4292377,-113.4685981
T5Y 0R6,EDMONTON,AB,7,53.606015,-113.406781
T6E 2X5,EDMONTON,AB,7,53.4963147,-113.4706456
T6E 3C3,EDMONTON,AB,7,53.509484,-113.4703105
T5A 3H7,EDMONTON,AB,7,53.596359,-113.393786
T5S 2G6,EDMONTON,AB,7,53.557859,-113.6647685
T5H 0K8,EDMONTON,AB,7,53.547768,-113.50209
T5W 2N5,EDMONTON,AB,7,53.572004,-113.405959
T6B 0Y3,EDMONTON,AB,7,53.530726,-113.434683
T5A 4B7,EDMONTON,AB,7,53.599004,-113.383432
T5K 2K9,EDMONTON,AB,7,53.545402,-113.524982
T5Y 4A8,EDMONTON,AB,7,53.63658,-113.438483
T5G 0K6,EDMONTON,AB,7,53.5701799,-113.4833417
T5S 1Z6,EDMONTON,AB,7,53.55192,-113.679586
T6B 2S5,EDMONTON,AB,7,53.53041,-113.414846
T6C 4A1,EDMONTON,AB,7,53.5268211,-113.45805
T6H 3N6,EDMONTON,AB,7,53.489822,-113.527334
T5M 3E4,EDMONTON,AB,7,53.566782,-113.552022
T6R 0W7,EDMONTON,AB,7,53.4342774,-113.5716873
T5J 2S1,EDMONTON,AB,7,53.545583,-113.492263
T5C 2R1,EDMONTON,AB,7,53.60596,-113.46043
T6L 4W4,EDMONTON,AB,7,53.4574795,-113.4151795
T6J 4N7,EDMONTON,AB,7,53.457084,-113.520451
T5T 0M6,EDMONTON,AB,7,53.517562,-113.625268
T5Z 0H7,EDMONTON,AB,7,53.6301928,-113.474229
T5T 7A2,EDMONTON,AB,7,53.515641,-113.637677
T6G 1J6,EDMONTON,AB,7,53.512349,-113.519937
T5W 3J4,EDMONTON,AB,7,53.570397,-113.421531
T6A 1Y2,EDMONTON,AB,7,53.548355,-113.412816
T6J 5P1,EDMONTON,AB,7,53.437538,-113.500583
T5A 0N8,EDMONTON,AB,7,53.598533,-113.44141
T5Z 2G4,EDMONTON,AB,7,53.641659,-113.488568
T6E 6S9,EDMONTON,AB,7,53.466896,-113.478315
T5R 5C4,EDMONTON,AB,7,53.526671,-113.590466
T6W 1M3,EDMONTON,AB,7,53.426526,-113.526922
T5C 2A9,EDMONTON,AB,7,53.592243,-113.456705
T6T 0R4,EDMONTON,AB,7,53.47097,-113.383845
T6J 4L1,EDMONTON,AB,7,53.465045,-113.519012
T5W 2N7,EDMONTON,AB,7,53.573651,-113.406089
T6L 2R7,EDMONTON,AB,7,53.444081,-113.399042
T5J 0Z2,EDMONTON,AB,7,53.5400532,-113.4991071
T5M 2Y7,EDMONTON,AB,7,53.5630302,-113.565839
T5K 0C5,EDMONTON,AB,7,53.535674,-113.493789
